product_name,store_name,reviewer_name,rating,review_text,review_date,variant,review_id,sentiment_label,review_text_raw,review_text_clean,text_length
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,E***s,5,"Akhirnya barang yang ditunggu-tunggu datang juga, mendarat dengan selamat, sempet g yakin mau beli online karena dari harga jauh lebih murah dari ofline tapi aku yakinin...",Lebih dari 1 tahun lalu,Black,98125386393a,Positif,"Akhirnya barang yang ditunggu-tunggu datang juga, mendarat dengan selamat, sempet g yakin mau beli online karena dari harga jauh lebih murah dari ofline tapi aku yakinin...",akhirnya barang yang ditunggu tunggu datang juga mendarat dengan selamat sempet g yakin mau beli online karena dari harga jauh lebih murah dari ofline tapi aku yakinin,27
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,Barang sudah sampai resmi Indonesia kode SA/A dapat harga murce #belidiWennywijaya,Lebih dari 1 tahun lalu,White,c363bec1b74e,Positif,Barang sudah sampai resmi Indonesia kode SA/A dapat harga murce #belidiWennywijaya,barang sudah sampai resmi indonesia kode sa a dapat harga murce,11
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,"PO pas 12.12 dapt harga 7.526 hehhe, nunggu 2 minggu baru dikirim, dan 5 hari perjalanan.. Alhamdulillah ori, puass.. Karna udah sring nonton live akhir nya mutusin buat...",Lebih dari 1 tahun lalu,Black,143019058fc2,Positif,"PO pas 12.12 dapt harga 7.526 hehhe, nunggu 2 minggu baru dikirim, dan 5 hari perjalanan.. Alhamdulillah ori, puass.. Karna udah sring nonton live akhir nya mutusin buat...",po pas 12 12 dapt harga 7 526 hehhe nunggu 2 minggu baru dikirim dan 5 hari perjalanan alhamdulillah ori puass karna udah sring nonton live akhir nya mutusin buat,30
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,Barang mendarat dengan selamat original ibox ada kartu garansinya dan bonus softcase dan anti gores,Lebih dari 1 tahun lalu,Red,acc3b1586f89,Positif,Barang mendarat dengan selamat original ibox ada kartu garansinya dan bonus softcase dan anti gores,barang mendarat dengan selamat original ibox ada kartu garansinya dan bonus softcase dan anti gores,15
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,r***r,5,"Nilai uang: Worth it Dibandingkan dengan deskripsi: Sesuai Kualitas produk: Bagus Jujur sih ini pertama kali aku beli hp online tadinya ragu tapi alhamdulillah amanah, hp...",Lebih dari 1 tahun lalu,Purple,76df08c4987e,Positif,"Nilai uang: Worth it Dibandingkan dengan deskripsi: Sesuai Kualitas produk: Bagus Jujur sih ini pertama kali aku beli hp online tadinya ragu tapi alhamdulillah amanah, hp...",nilai uang worth it dibandingkan dengan deskripsi sesuai kualitas produk bagus jujur sih ini pertama kali aku beli hp online tadinya ragu tapi alhamdulillah amanah hp,26
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,"Maaf ya baru sempat beri ulasan,paket smpai dengan selamat di Kab. Sidrap Sul-sel.milano tempat yg paling amanah u beli iphone garansi ibox pastinya Terima kasih puas bng...",Lebih dari 1 tahun lalu,Black,d55f0f184da2,Positif,"Maaf ya baru sempat beri ulasan,paket smpai dengan selamat di Kab. Sidrap Sul-sel.milano tempat yg paling amanah u beli iphone garansi ibox pastinya Terima kasih puas bng...",maaf ya baru sempat beri ulasan paket smpai dengan selamat di kab sidrap sul sel milano tempat yg paling amanah u beli iphone garansi ibox pastinya terima kasih puas bng,30
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,v***s,5,"Disini bener-bener trusted banget terpercaya, new ori garansi resmi ibox semua aman 100% packing oke pengiriman ke bogor juga oke banget cuma 1 hari gila banget!! + yang...",Lebih dari 1 tahun lalu,Black,a9cb3b9f33d9,Positif,"Disini bener-bener trusted banget terpercaya, new ori garansi resmi ibox semua aman 100% packing oke pengiriman ke bogor juga oke banget cuma 1 hari gila banget!! + yang...",disini bener bener trusted banget terpercaya new ori garansi resmi ibox semua aman 100 packing oke pengiriman ke bogor juga oke banget cuma 1 hari gila banget yang,28
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,a***r,5,setelah di cek ternyata resmi indonesia yah bagus banget cepet pengirimannya aman juga pake pelindungnya semoga awet batrenya 100% model seri pA/A semoga berkah tokonya🙏...,Lebih dari 1 tahun lalu,Black,1b59c265fe27,Positif,setelah di cek ternyata resmi indonesia yah bagus banget cepet pengirimannya aman juga pake pelindungnya semoga awet batrenya 100% model seri pA/A semoga berkah tokonya🙏...,setelah di cek ternyata resmi indonesia yah bagus banget cepet pengirimannya aman juga pake pelindungnya semoga awet batrenya 100 model seri pa a semoga berkah tokonya,26
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,A***a,5,"Barang original bergaransi segel,pengiriman cepat, Banyak dapat free, pokoknya trust bgt belanja disini udah gitu harga nya miring #belidiwenny",Lebih dari 1 tahun lalu,White,4f96d1cf0b12,Positif,"Barang original bergaransi segel,pengiriman cepat, Banyak dapat free, pokoknya trust bgt belanja disini udah gitu harga nya miring #belidiwenny",barang original bergaransi segel pengiriman cepat banyak dapat free pokoknya trust bgt belanja disini udah gitu harga nya miring,19
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,a***o,5,"Recomemded Sesuai dengan yg di jual garansi new ibox , tpi aku kecwa nya nggak dapat emas mini goldnya, hanya dpt case dan tppred glass, pdhl dsitu ada tertera dpt emas,...",Lebih dari 1 tahun lalu,Black,27f14934627a,Positif,"Recomemded Sesuai dengan yg di jual garansi new ibox , tpi aku kecwa nya nggak dapat emas mini goldnya, hanya dpt case dan tppred glass, pdhl dsitu ada tertera dpt emas,...",recomemded sesuai dengan yg di jual garansi new ibox tpi aku kecwa nya nggak dapat emas mini goldnya hanya dpt case dan tppred glass pdhl dsitu ada tertera dpt emas,30
