review_id,product_name,product_url,store_name,reviewer_name,rating,review_text,review_date,variant,helpful_count,scraped_at
98125386393a,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,E***s,5,"Akhirnya barang yang ditunggu-tunggu datang juga, mendarat dengan selamat, sempet g yakin mau beli online karena dari harga jauh lebih murah dari ofline tapi aku yakinin...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
c363bec1b74e,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,Barang sudah sampai resmi Indonesia kode SA/A dapat harga murce #belidiWennywijaya,Lebih dari 1 tahun lalu,Varian: White,0,2026-01-12T20:28:42.369832
143019058fc2,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"PO pas 12.12 dapt harga 7.526 hehhe, nunggu 2 minggu baru dikirim, dan 5 hari perjalanan.. Alhamdulillah ori, puass.. Karna udah sring nonton live akhir nya mutusin buat...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
acc3b1586f89,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,Barang mendarat dengan selamat original ibox ada kartu garansinya dan bonus softcase dan anti gores,Lebih dari 1 tahun lalu,Varian: Red,0,2026-01-12T20:28:42.369832
76df08c4987e,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,r***r,5,"Nilai uang: Worth it Dibandingkan dengan deskripsi: Sesuai Kualitas produk: Bagus Jujur sih ini pertama kali aku beli hp online tadinya ragu tapi alhamdulillah amanah, hp...",Lebih dari 1 tahun lalu,Varian: Purple,0,2026-01-12T20:28:42.369832
d55f0f184da2,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"Maaf ya baru sempat beri ulasan,paket smpai dengan selamat di Kab. Sidrap Sul-sel.milano tempat yg paling amanah u beli iphone garansi ibox pastinya Terima kasih puas bng...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
a9cb3b9f33d9,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,v***s,5,"Disini bener-bener trusted banget terpercaya, new ori garansi resmi ibox semua aman 100% packing oke pengiriman ke bogor juga oke banget cuma 1 hari gila banget!! + yang...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
1b59c265fe27,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,a***r,5,setelah di cek ternyata resmi indonesia yah bagus banget cepet pengirimannya aman juga pake pelindungnya semoga awet batrenya 100% model seri pA/A semoga berkah tokonya🙏...,Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
4f96d1cf0b12,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,A***a,5,"Barang original bergaransi segel,pengiriman cepat, Banyak dapat free, pokoknya trust bgt belanja disini udah gitu harga nya miring #belidiwenny",Lebih dari 1 tahun lalu,Varian: White,0,2026-01-12T20:28:42.369832
27f14934627a,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,a***o,5,"Recomemded Sesuai dengan yg di jual garansi new ibox , tpi aku kecwa nya nggak dapat emas mini goldnya, hanya dpt case dan tppred glass, pdhl dsitu ada tertera dpt emas,...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
7cb5f72e7ce0,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,S***a,5,"awal nya ragu beli nya, tapi pas udah nyampe barangnya asli bagus banget coy, ga nyesel beli nya, penjual nya ramah, packing nya rapi dan tebal. imei nya aman udah terdaf...",Lebih dari 1 tahun lalu,Varian: White,0,2026-01-12T20:28:42.369832
bbc5b0096c94,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"Order 2minggu yang lalu baru kasih ulasan ini bener bener real ya new ibox masih segel dapet harga promo + free softcase antigores imei aman semuaa amaan lancar ,makasih...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
ced4bf08583d,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,Bagus banget barangnya sesuai dan masih di segel,Lebih dari 1 tahun lalu,Varian: White,0,2026-01-12T20:28:42.369832
85abe1c1e43e,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"Pesanan telah sampai dgn selamat,dan diksih anti gres dan silicone yg bagus,teman2 gak usah ragu belanja di milano cell dpt gold mini juga,brgnya dijamin ori garansi ibox...",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
d326e9929e9e,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"Mantap Aman sekali sampai dengan selamat,iPhone nya oriii di sini dari iBox jangan ragu yah silakan orderr,pelayanan nya Rama banget🥰🤗Terimakasih yah🙏",Lebih dari 1 tahun lalu,Varian: Purple,0,2026-01-12T20:28:42.369832
3f1da00b45b8,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,Awalnya si ragu tapi coba2 lah pas DTG mntp BRG original garansi tam ibox,Lebih dari 1 tahun lalu,Varian: White,0,2026-01-12T20:28:42.369832
ff56695b48fb,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,Kartu garansi ketinggalan kak kalau ada masalah selulernya mohon bantuannya ya kak 🙏.,Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
274bd503b049,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,D***l,5,"Mantep paketnya udh nyampe,baru kali ini Chekout hp di online agak takut sih tapi alhamdulliha ip nya mendarat dgn baik,gk usah ragu gk ush bimbang udh pasti tokonya ama...",Lebih dari 1 tahun lalu,Varian: White,0,2026-01-12T20:28:42.369832
73b0b99a8400,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,C***a,5,Barang sesuai pesanan new ori ibox sangat rekomendasi semoga awet dan berkah untuk toko nya aamiin,Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
eaae8c44a15f,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"Masyaallah amanah bgt dari tgl 9-17 alhamdulillah hp baru ku datang kondisi baik,admin jg ramah tabarakallah wajar lama karena edisi mau lebaran tp gpp wort it bgtt",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
8f2839f1e5d5,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,R***a,5,"Alhamdulillah.... Produk Aman smpe dtujuan. ORi asli. Puas dengan layanan dtoko nya, Top banget",Lebih dari 1 tahun lalu,Varian: Purple,0,2026-01-12T20:28:42.369832
60fee5494854,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"gak usah ragu dgn barang dsini guys, asli cakep.. pengiriman juga cepettt+adminnya ramah poll&fastrespon",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
06586c695433,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,Anonymous,5,"Alhamdulillah amanah,orisinal 100%👌😍",Lebih dari 1 tahun lalu,Varian: Black,0,2026-01-12T20:28:42.369832
cb582aa1c9b8,[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,https://www.tokopedia.com/milano-cell/fs-milano-apple-iphone-17-256gb-garansi-resmi-1733680775158727703,Unknown,l***l,5,Packaging oke tapi belom bisa di buka hapenha karna buat kado,Lebih dari 1 tahun lalu,Varian: Purple,0,2026-01-12T20:28:42.369832
